0,498,422
200,456,453
401,434,444
602,386,418
802,355,377
1003,330,351
1204,280,306
1404,278,285
1605,239,263
1806,216,240
2007,199,235
2207,190,214
2408,178,201
2609,175,191
2809,195,205
3011,5,101
3212,99,122
3412,116,121
3613,150,160
3814,194,199
4015,218,223
4215,244,248
4416,99,169
4617,5,99
4817,9,89
5018,6,84
5219,29,98
5420,62,120
5620,340,319
5821,365,364
6022,380,384
6222,192,259
6423,298,253
6624,264,275
6824,272,289
7025,346,340
7226,381,372
7427,458,432
7627,474,456
7828,555,518
8029,558,556
8230,299,352
8431,272,298
8632,648,542
8833,609,589
9033,664,627
9234,736,688
9435,769,725
9635,813,752
9836,826,778
10037,840,794
10237,907,846
10438,942,891
10639,965,921
10841,952,924
11041,967,936
11242,966,939
11443,961,933
11643,1000,960
11844,949,935
12045,1005,985
12246,930,937
12447,866,880
12648,801,817
12849,735,748
13049,663,679
13250,582,605
13451,536,554
13651,468,491
13852,421,442
14053,365,386
14255,335,352
14455,308,335
14656,298,309
14857,316,318
15057,313,315
15258,345,339
15459,352,348
15660,390,368
15860,393,385
16062,412,404
16263,442,432
16463,442,437
16664,476,464
16865,473,470
17065,480,479
17266,463,466
17467,475,462
17668,445,464
17869,429,440
18070,309,353
18271,239,285
18471,285,301
18672,266,288
18873,245,272
19074,222,250
19274,174,216
19475,140,187
19677,97,154
19877,40,159
20078,4,93
20279,7,83
20480,6,79
20680,4,51
20881,59,89
21082,88,112
21282,118,136
21483,148,161
21684,182,190
21884,226,227
22085,243,247
22286,281,280
22487,295,296
22687,321,319
22889,347,344
23090,357,357
23290,399,389
23491,409,407
23692,423,423
23892,412,417
24093,106,215
24294,4,110
24495,4,89
24695,25,98
24896,56,117
25097,90,140
25297,123,163
25499,159,190
25700,195,218
25901,231,247
26101,265,306
26302,301,312
26503,383,368
26703,381,378
26904,273,304
27105,240,263
27307,225,245
27507,418,375
27708,457,430
27909,536,498
28109,547,522
28310,635,591
28511,660,626
28711,724,681
28912,746,709
29114,796,764
29315,774,753
29515,734,718
29716,778,742
29917,828,778
30117,881,823
30318,924,866
30519,937,895
30720,946,910
30921,940,913
31122,947,918
31323,1004,970
31523,970,965
31724,885,910
31925,835,849
32125,773,787
32326,705,719
32528,639,655
32729,569,587
32929,529,546
33130,460,482
33331,427,444
33531,378,395
33732,367,367
33933,329,341
34134,321,328
34335,320,336
34536,328,331
34737,351,348
34937,352,350
35138,383,376
35339,383,380
35539,413,393
35740,415,408
35941,425,421
36143,448,441
36343,469,458
36544,477,474
36745,453,456
36945,461,462
37146,458,460
37347,458,450
37548,422,446
37748,403,419
37950,393,407
38151,980,791
38351,846,794
38552,750,739
38753,786,751
38953,675,678
39154,583,602
39355,549,558
39556,223,293
39757,216,245
39958,192,218
40159,199,206
40359,193,206
40560,209,218
40761,230,236
40962,258,259
41162,87,198
41363,48,130
41564,219,202
41765,236,237
41966,294,276
42167,311,309
42368,345,339
42568,368,381
42769,314,332
42970,338,345
43170,334,343
43371,352,361
43573,332,347
43773,340,339
43974,307,325
44175,293,312
44376,272,309
44576,255,282
44777,244,270
44978,206,236

45178,205,21
